datid,datname,pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query,backend_type
13408,postgres,218,10,postgres,,172.27.0.1,,37886,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,219,10,postgres,,172.27.0.1,,37888,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,220,10,postgres,,172.27.0.1,,37890,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,221,10,postgres,,172.27.0.1,,37894,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,223,10,postgres,,172.27.0.1,,37896,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,222,10,postgres,,172.27.0.1,,37892,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,224,10,postgres,,172.27.0.1,,37898,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,225,10,postgres,,172.27.0.1,,37900,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,226,10,postgres,,172.27.0.1,,37902,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,227,10,postgres,,172.27.0.1,,37904,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,228,10,postgres,,172.27.0.1,,37906,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,229,10,postgres,,172.27.0.1,,37908,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,230,10,postgres,,172.27.0.1,,37910,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,231,10,postgres,,172.27.0.1,,37912,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,232,10,postgres,,172.27.0.1,,37914,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,233,10,postgres,,172.27.0.1,,37916,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,234,10,postgres,,172.27.0.1,,37918,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,235,10,postgres,,172.27.0.1,,37920,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,236,10,postgres,,172.27.0.1,,37922,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,237,10,postgres,,172.27.0.1,,37926,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,238,10,postgres,,172.27.0.1,,37924,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,239,10,postgres,,172.27.0.1,,37928,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,240,10,postgres,,172.27.0.1,,37930,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,241,10,postgres,,172.27.0.1,,37932,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,243,10,postgres,,172.27.0.1,,37936,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,242,10,postgres,,172.27.0.1,,37934,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,244,10,postgres,,172.27.0.1,,37938,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,245,10,postgres,,172.27.0.1,,37940,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,246,10,postgres,,172.27.0.1,,37942,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,247,10,postgres,,172.27.0.1,,37944,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,248,10,postgres,,172.27.0.1,,37946,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,249,10,postgres,,172.27.0.1,,37948,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,250,10,postgres,,172.27.0.1,,37950,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,251,10,postgres,,172.27.0.1,,37954,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,252,10,postgres,,172.27.0.1,,37952,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,253,10,postgres,,172.27.0.1,,37956,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,254,10,postgres,,172.27.0.1,,37958,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,255,10,postgres,,172.27.0.1,,37960,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,256,10,postgres,,172.27.0.1,,37962,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,257,10,postgres,,172.27.0.1,,37964,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,258,10,postgres,,172.27.0.1,,37966,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,259,10,postgres,,172.27.0.1,,37968,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,260,10,postgres,,172.27.0.1,,37970,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
,,59,,,,,,,4/18/20 14:01,,,,Activity,BgWriterHibernate,,,,,background writer
,,58,,,,,,,4/18/20 14:01,,,,Activity,CheckpointerMain,,,,,checkpointer
,,60,,,,,,,4/18/20 14:01,,,,Activity,WalWriterMain,,,,,walwriter
